,,,,,,,
,Afghanistan: 33.93911 67.70995,,Bangladesh: 23.68499 90.35633,,,Brunei Darussalam: 4.53528 114.72767,
,Afghanistan: 33.93911 67.70995,Cameroon: 7.36972 12.35472,,,,Austria: 47.51623 14.55007,
,Albania: 41.15333 20.16833,,,,,Austria: 47.51623 14.55007,Czech Republic: 49.81749 15.47296
,Algeria: 28.03389 1.65963,Iraq: 33.22319 43.67929,Ethiopia: 9.14500 40.48967,Turkey: 38.96375 35.24332,,Cape Verde: 15.12173 -23.60508,
,Algeria: 28.03389 1.65963,,,,,Bosnia and Herzegovina: 43.91589 17.67908,Japan: 36.20482 138.25292
,Algeria: 28.03389 1.65963,,,,,Belgium: 50.50389 4.46994,Albania: 41.15333 20.16833
,Angola: -11.20269 17.87389,Ethiopia: 9.14500 40.48967,Cameroon: 7.36972 12.35472,Botswana: -22.32847 24.68487,,,
,Angola: -11.20269 17.87389,,,,,,
,Angola: -11.20269 17.87389,,Democratic Republic of the Congo: -4.03833 21.75866,,,,
,Argentina: -38.41610 -63.61667,,,,,,
,Argentina: -38.41610 -63.61667,,Peru: -9.18997 -75.01515,,,,
,Argentina: -38.41610 -63.61667,,,,,,
,Argentina: -38.41610 -63.61667,,,,,,
,Argentina: -38.41610 -63.61667,,,,,,
,Armenia: 40.06910 45.03819,Central African Republic: 6.61111 20.93944,,,,Bahrain: 26.06670 50.55770,
,Azerbaijan: 40.14310 47.57693,Afghanistan: 33.93911 67.70995,,,,Hong Kong: 22.39643 114.10950,
,Azerbaijan: 40.14310 47.57693,,,,,Canada: 56.13037 -106.34677,Libya: 26.33510 17.22833
,Azerbaijan: 40.14310 47.57693,Chad: 15.45417 18.73221,,,,Belarus: 53.70981 27.95339,
,Bangladesh: 23.68499 90.35633,,,,,Canada: 56.13037 -106.34677,
,Bangladesh: 23.68499 90.35633,Vietnam: 14.05832 108.27720,Malaysia: 4.21048 101.97577,,,,
,Bangladesh: 23.68499 90.35633,Bhutan: 27.51416 90.43360,,,,Pakistan: 30.37532 69.34512,
,Bhutan: 27.51416 90.43360,Bangladesh: 23.68499 90.35633,Nepal: 28.39486 84.12401,,,,
,Bhutan: 27.51416 90.43360,,China: 35.86166 104.19540,,,Russian Federation: 61.52401 105.31876,
,Bolivia: -16.29015 -63.58865,,,,,,
,Bolivia: -16.29015 -63.58865,,,,,,
,Brazil: -14.23500 -51.92528,,,,,,
,Brazil: -14.23500 -51.92528,,,,,,
,Brazil: -14.23500 -51.92528,,,,,,
,Brazil: -14.23500 -51.92528,,,,,,
,Brazil: -14.23500 -51.92528,,,,,,
,Brazil: -14.23500 -51.92528,,,,,,
,Brazil: -14.23500 -51.92528,,,,,,
,Brazil: -14.23500 -51.92528,,,,,,
,Brazil: -14.23500 -51.92528,,,,,,
,Brazil: -14.23500 -51.92528,,,,,,
,Brazil: -14.23500 -51.92528,,,,,,
,Brazil: -14.23500 -51.92528,,,,,,
,Brunei Darussalam: 4.53528 114.72767,,,,,Australia: -25.27440 133.77514,
,Bulgaria: 42.73388 25.48583,,,,,Cyprus: 35.12641 33.42986,
,Burma: 21.91397 95.95622,,,,,,
,Burma: 21.91397 95.95622,,,,,,
,Burma: 21.91397 95.95622,,,,,,
,Burma: 21.91397 95.95622,,,,,,
,Burma: 21.91397 95.95622,,,,,,
,Burma: 21.91397 95.95622,,,,,,
,Cambodia: 12.56568 104.99096,,,Vietnam: 14.05832 108.27720,,,
,Cambodia: 12.56568 104.99096,,,,,Cocos Islands: -12.1167 96.9000,
,Cambodia: 12.56568 104.99096,,Malaysia: 4.21048 101.97577,,,,
,Cambodia: 12.56568 104.99096,,Thailand: 15.87003 100.99254,,,,
,Cambodia: 12.56568 104.99096,Bangladesh: 23.68499 90.35633,,,,,
,Cambodia: 12.56568 104.99096,China: 35.86166 104.19540,Thailand: 15.87003 100.99254,,,,
,Cambodia: 12.56568 104.99096,Malaysia: 4.21048 101.97577,,,,,
,Cambodia: 12.56568 104.99096,,Thailand: 15.87003 100.99254,,,,
,Cameroon: 7.36972 12.35472,,,,,,
,Cameroon: 7.36972 12.35472,,,,,,
,Central African Republic: 6.61111 20.93944,,,,,,
,Chad: 15.45417 18.73221,,Algeria: 28.03389 1.65963,Morocco: 31.79170 -7.09262,,,
,Chad: 15.45417 18.73221,,Libya: 26.33510 17.22833,Senegal: 14.49740 -14.45236,,,
,Chile: -35.67515 -71.54297,,,,,,
,Chile: -35.67515 -71.54297,,,,,,
,Chile: -35.67515 -71.54297,,,,,Panama: 8.53798 -80.78213,
